	NN	WDT	VB	,	PDT	RP	JJS	)	RBS	DT	FW	NNS	CD	``	WP	TO	UH	VBZ	RBR	JJR	(	PRP$	#	JJ	VBG	RB	.	VBP	PRP	IN	CC	MD	$	POS	WP$	''	SYM	EX	WRB	VBD	NNPS	LS	NNP	VBN	:
NN	5547	0	11	0	0	0	0	0	0	0	9	57	15	0	0	0	0	5	0	0	0	0	0	219	33	2	0	8	3	1	2	0	0	0	0	0	0	0	0	4	0	0	212	5	0
WDT	0	177	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
VB	22	0	1089	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	6	1	0	26	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	8	0
,	0	0	0	2525	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDT	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJS	6	0	0	0	0	0	69	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
)	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBS	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DT	3	3	0	0	11	0	0	0	0	3946	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	11	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0
FW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NNS	233	0	2	0	0	0	0	0	0	0	3	2487	8	0	0	0	0	9	0	0	0	0	0	35	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	149	14	0
CD	12	0	8	0	0	0	0	0	0	1	0	5	1278	0	0	0	0	0	0	0	0	0	0	64	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	37	3	0
``	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
UH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBZ	15	0	5	0	0	0	0	0	0	0	0	26	3	0	0	0	0	1011	0	0	0	0	0	9	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	10	0	0	11	1	0
RBR	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	32	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJR	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	30	115	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
(	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRP$	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ	75	0	9	0	6	2	0	0	0	7	4	11	23	0	0	1	0	3	0	1	0	0	0	2553	12	29	0	3	0	3	3	0	0	0	0	0	0	0	0	2	0	0	144	58	0
VBG	60	0	6	0	0	0	0	0	0	0	0	2	12	0	0	0	0	5	0	0	0	0	0	63	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	19	30	0
RB	16	0	4	0	0	24	0	0	0	4	0	3	3	0	0	0	2	4	4	0	0	0	0	41	5	1238	0	2	0	60	3	0	0	0	0	0	0	3	0	2	0	0	31	14	0
.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBP	38	0	58	0	0	0	0	0	0	0	0	3	1	0	0	0	0	7	0	0	0	0	0	1	5	0	0	590	0	0	0	0	0	0	0	0	0	0	0	6	0	0	4	4	0
PRP	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN	0	6	0	0	0	21	0	0	0	17	6	0	1	0	0	2	0	0	0	0	0	0	0	8	2	55	0	1	0	4727	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0
CC	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0
$	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0
POS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	0
